UniProtIds,Genes,ProteinGroups,ProteinNames,ProteinDescriptions,Valid,Comparison (group1/group2),Condition Numerator,Condition Denominator,# of Ratios,Group,AVG Group Quantity Denominator,AVG Group Quantity Numerator,AVG Log2 Ratio,Absolute AVG Log2 Ratio,% Change,Ratio,Standard Deviation,Pvalue,Qvalue,Degrees Of Freedom,Standard Error,Organisms,Protein Coverage,Molecular Weight,GO Biological Process,GO Molecular Function,GO Cellular Component,Database,Protein Existence,Sequence Version,FASTAName,FASTAHeader,# Unique Total Peptides,# Unique Total EG.Id
Q9NTJ5,SACM1L,Q9NTJ5,SAC1_HUMAN,Phosphatidylinositide phosphatase SAC1,TRUE,M / MaN,M,MaN,5,Q9NTJ5,41.0665893554687,34.4626502990722,-0.25,0.25,-16.08,0.84,0,8.39E-01,6.09E-01,4,1.02728314600894,Homo sapiens,0%,66966.89,"phosphatidylinositol biosynthetic process,biological_process,phosphatidylinositol dephosphorylation","phosphatidylinositol-3-phosphatase activity,phosphatase activity,phosphatidylinositol bisphosphate phosphatase activity,phosphatidylinositol phosphate 4-phosphatase activity,phosphatidylinositol-4-phosphate phosphatase activity","Golgi membrane,endoplasmic reticulum membrane,Golgi apparatus,integral component of endoplasmic reticulum membrane,AMPA glutamate receptor complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NTJ5|SAC1_HUMAN Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens GN=SACM1L PE=1 SV=2,25,32
Q9NTK5,OLA1,Q9NTK5,OLA1_HUMAN,Obg-like ATPase 1,TRUE,M / MaN,M,MaN,30,Q9NTK5,361.6396484375,1683.36901855468,2.22,2.22,365.48,4.65,0,5.05E-03,2.66E-02,29,0.449128568913969,Homo sapiens,0%,44743.56,"ATP metabolic process,cell-cell adhesion","ATP binding,GTP binding,ATPase activity,ribosome binding,ribosomal large subunit binding,metal ion binding,cadherin binding involved in cell-cell adhesion","nucleolus,cytoplasm,centrosome,cell-cell adherens junction,membrane,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2,38,62
Q9NTX5,ECHDC1,Q9NTX5,ECHD1_HUMAN,Ethylmalonyl-CoA decarboxylase,TRUE,M / MaN,M,MaN,35,Q9NTX5,1743.5107421875,227.665008544921,-2.94,2.94,-86.94,0.13,0,7.60E-01,5.83E-01,34,0.397096218977395,Homo sapiens,0%,33698.02,metabolic process,"methylmalonyl-CoA decarboxylase activity,carboxy-lyase activity","cytosol,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NTX5|ECHD1_HUMAN Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1 PE=1 SV=2,17,25
Q9NUQ8,ABCF3,Q9NUQ8,ABCF3_HUMAN,ATP-binding cassette sub-family F member 3,TRUE,M / MaN,M,MaN,10,Q9NUQ8,32.8991813659668,67.8279724121093,1.04,1.04,106.17,2.06,0,3.58E-01,4.03E-01,9,0.686988119598825,Homo sapiens,1.40%,79744.67,"defense response to virus,cell-cell adhesion","ATP binding,ATPase activity,cadherin binding involved in cell-cell adhesion","cell-cell adherens junction,membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NUQ8|ABCF3_HUMAN ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2,27,32
Q9NUQ9,FAM49B,Q9NUQ9,FA49B_HUMAN,Protein FAM49B,TRUE,M / MaN,M,MaN,25,Q9NUQ9,303.313995361328,128.491912841796,-1.24,1.24,-57.64,0.42,0,4.56E-01,4.55E-01,24,0.47856082602229,Homo sapiens,0%,36747.97,,,"cilium,membrane,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NUQ9|FA49B_HUMAN Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1,23,41
Q9NUU7,DDX19A,Q9NUU7,DD19A_HUMAN,ATP-dependent RNA helicase DDX19A,TRUE,M / MaN,M,MaN,30,Q9NUU7,71.6509399414062,82.9473266601562,0.21,0.21,15.77,1.16,0,6.00E-01,5.23E-01,29,0.391112660836144,Homo sapiens,0%,53975.02,"mRNA export from nucleus,biological_process,RNA secondary structure unwinding,protein transport","molecular_function,RNA binding,ATP-dependent RNA helicase activity,protein binding,ATP binding","nucleus,nuclear pore,cytoplasm,membrane,nuclear membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NUU7|DD19A_HUMAN ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,30,40
Q9NUV9,GIMAP4,Q9NUV9,GIMA4_HUMAN,GTPase IMAP family member 4,TRUE,M / MaN,M,MaN,5,Q9NUV9,533.230834960937,25.5827445983886,-4.38,4.38,-95.20,0.05,0,3.37E-01,3.90E-01,4,2.00800187459569,Homo sapiens,0%,37533.81,,GTP binding,cytosol,sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NUV9|GIMA4_HUMAN GTPase IMAP family member 4 OS=Homo sapiens GN=GIMAP4 PE=1 SV=1,10,15
Q9NVA2,SEPT11,Q9NVA2,SEP11_HUMAN,Septin-11,TRUE,M / MaN,M,MaN,35,Q9NVA2,465.516143798828,477.232360839843,0.04,0.04,2.52,1.03,0,1.42E-01,2.37E-01,34,0.346630169425735,Homo sapiens,0%,49398.25,"cell cycle,protein heterooligomerization,cell division","protein binding,GTP binding","stress fiber,cytoplasm,cell junction,axon,dendritic spine,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NVA2|SEP11_HUMAN Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3,28,45
Q9NVI7,ATAD3A,Q9NVI7,ATD3A_HUMAN,ATPase family AAA domain-containing protein 3A,TRUE,M / MaN,M,MaN,15,Q9NVI7,65.0710296630859,31.5947761535644,-1.04,1.04,-51.45,0.49,0,2.37E-01,3.23E-01,14,0.385886973565652,Homo sapiens,0%,71369.14,"cell growth,negative regulation of apoptotic process",ATP binding,"mitochondrion,mitochondrial inner membrane,integral component of membrane,mitochondrial nucleoid",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2,34,54
Q9NVJ2,ARL8B,Q9NVJ2,ARL8B_HUMAN,ADP-ribosylation factor-like protein 8B,TRUE,M / MaN,M,MaN,20,Q9NVJ2,1211.68713378906,98.5899276733398,-3.62,3.62,-91.86,0.08,0,1.61E-01,2.55E-01,19,0.81948496247223,Homo sapiens,0%,21539.01,"cell cycle,chromosome segregation,small GTPase mediated signal transduction,lysosome localization,cell division","GTPase activity,protein binding,GTP binding,GDP binding,alpha-tubulin binding,beta-tubulin binding","cytoplasm,membrane,midbody,late endosome membrane,spindle midzone,extracellular exosome,lysosomal membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NVJ2|ARL8B_HUMAN ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1,10,19
Q9NW15,ANO10,Q9NW15,ANO10_HUMAN,Anoctamin-10,TRUE,M / MaN,M,MaN,10,Q9NW15,261.762268066406,22.5645351409912,-3.54,3.54,-91.38,0.09,0,4.34E-01,4.45E-01,9,0.916119887789845,Homo sapiens,0%,76329.36,"cation transport,chloride transport,ion transmembrane transport,cation transmembrane transport,chloride transmembrane transport","calcium activated cation channel activity,intracellular calcium activated chloride channel activity","intracellular,plasma membrane,membrane,integral component of membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NW15|ANO10_HUMAN Anoctamin-10 OS=Homo sapiens GN=ANO10 PE=1 SV=2,6,6
Q9NX02,NLRP2,Q9NX02,NALP2_HUMAN,"NACHT, LRR and PYD domains-containing protein 2",TRUE,M / MaN,M,MaN,10,Q9NX02,71.4413986206054,38.2071571350097,-0.90,0.90,-46.52,0.53,0,7.03E-01,5.62E-01,9,0.876386219380524,Homo sapiens,0%,120515.24,"apoptotic process,inflammatory response,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,innate immune response,positive regulation of interleukin-1 beta secretion","protein binding,ATP binding,Pyrin domain binding","cytoplasm,Golgi apparatus,intracellular membrane-bounded organelle,nuclear chromosome, telomeric region",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,">sp|Q9NX02|NALP2_HUMAN NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens GN=NLRP2 PE=1 SV=1",9,10
Q9NX14,NDUFB11,Q9NX14,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",TRUE,M / MaN,M,MaN,10,Q9NX14,10.6537532806396,7.20127534866333,-0.57,0.57,-32.41,0.68,0,3.83E-01,4.20E-01,9,0.497129970877915,Homo sapiens,0%,17316.65,"mitochondrial electron transport, NADH to ubiquinone,mitochondrial respiratory chain complex I assembly",protein binding,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,integral component of membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,">sp|Q9NX14|NDUBB_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Homo sapiens GN=NDUFB11 PE=1 SV=1",3,3
Q9NY15,STAB1,Q9NY15,STAB1_HUMAN,Stabilin-1,TRUE,M / MaN,M,MaN,5,Q9NY15,2.6686840057373,16.0245399475097,2.59,2.59,500.47,6.00,0,6.37E-02,1.45E-01,4,0.805945965190904,Homo sapiens,0%,275482.19,"receptor-mediated endocytosis,inflammatory response,cell adhesion,cell-cell signaling,negative regulation of angiogenesis,defense response to bacterium,oxidation-reduction process","low-density lipoprotein receptor activity,scavenger receptor activity,calcium ion binding,protein binding,hyaluronic acid binding,protein disulfide oxidoreductase activity,low-density lipoprotein particle binding","plasma membrane,integral component of plasma membrane,endocytic vesicle membrane",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NY15|STAB1_HUMAN Stabilin-1 OS=Homo sapiens GN=STAB1 PE=1 SV=3,11,11
Q9NY65,TUBA8,Q9NY65,TBA8_HUMAN,Tubulin alpha-8 chain,TRUE,M / MaN,M,MaN,20,Q9NY65,144.821212768554,157.904953002929,0.12,0.12,9.03,1.09,0,9.63E-01,6.42E-01,19,0.588022918065825,Homo sapiens,0%,50093.54,"cytoskeleton organization,microtubule-based process","GTPase activity,structural constituent of cytoskeleton,GTP binding","cytoplasm,microtubule",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NY65|TBA8_HUMAN Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 PE=1 SV=1,7,9
Q9NYL2,ZAK,Q9NYL2,MLTK_HUMAN,Mitogen-activated protein kinase kinase kinase MLT,TRUE,M / MaN,M,MaN,15,Q9NYL2,24.0458526611328,33.3368759155273,0.47,0.47,38.64,1.39,0,8.78E-01,6.23E-01,14,0.46881367451119,Homo sapiens,0%,91155.02,"cell cycle checkpoint,DNA damage checkpoint,activation of MAPKK activity,protein phosphorylation,response to stress,cytoskeleton organization,cell cycle arrest,activation of JUN kinase activity,cell death,cell proliferation,response to radiation,cell differentiation,intracellular signal transduction,embryonic digit morphogenesis,positive regulation of apoptotic process,limb development","magnesium ion binding,protein serine/threonine kinase activity,MAP kinase kinase kinase activity,ATP binding,poly(A) RNA binding","nucleus,cytoplasm",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NYL2|MLTK_HUMAN Mitogen-activated protein kinase kinase kinase MLT OS=Homo sapiens GN=ZAK PE=1 SV=3,19,25
Q9NYL4,FKBP11,Q9NYL4,FKB11_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP11,TRUE,M / MaN,M,MaN,10,Q9NYL4,43.1451606750488,20.869493484497,-1.05,1.05,-51.63,0.48,0,9.18E-02,1.79E-01,9,0.737578521473551,Homo sapiens,0%,22180.37,"protein peptidyl-prolyl isomerization,chaperone-mediated protein folding","peptidyl-prolyl cis-trans isomerase activity,FK506 binding","endoplasmic reticulum membrane,membrane,integral component of membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NYL4|FKB11_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP11 OS=Homo sapiens GN=FKBP11 PE=1 SV=1,5,7
Q9NYU2,UGGT1,Q9NYU2,UGGG1_HUMAN,UDP-glucose:glycoprotein glucosyltransferase 1,TRUE,M / MaN,M,MaN,85,Q9NYU2,1061.60375976562,237.868896484375,-2.16,2.16,-77.59,0.22,0,7.83E-01,5.89E-01,84,0.213906096845049,Homo sapiens,0%,177189.59,"protein N-linked glycosylation via asparagine,endoplasmic reticulum unfolded protein response,'de novo' posttranslational protein folding,ER-associated misfolded protein catabolic process,UDP-glucosylation,endoplasmic reticulum mannose trimming","UDP-glucose:glycoprotein glucosyltransferase activity,protein binding,unfolded protein binding","endoplasmic reticulum,endoplasmic reticulum lumen,endoplasmic reticulum-Golgi intermediate compartment,endoplasmic reticulum quality control compartment,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NYU2|UGGG1_HUMAN UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,69,111
Q9NZ01,TECR,Q9NZ01,TECR_HUMAN,Very-long-chain enoyl-CoA reductase,TRUE,M / MaN,M,MaN,30,Q9NZ01,143.94204711914,69.1725463867187,-1.06,1.06,-51.94,0.48,0,4.10E-01,4.37E-01,29,0.435541094175479,Homo sapiens,0%,36034.39,"fatty acid elongation,long-chain fatty-acyl-CoA biosynthetic process,very long-chain fatty acid biosynthetic process,oxidation-reduction process","protein binding,very-long-chain-acyl-CoA dehydrogenase activity","nucleus,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of endoplasmic reticulum membrane",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NZ01|TECR_HUMAN Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1,11,16
Q9NZB2,FAM120A,Q9NZB2,F120A_HUMAN,Constitutive coactivator of PPAR-gamma-like protein 1,TRUE,M / MaN,M,MaN,75,Q9NZB2,193.620803833007,248.130828857421,0.36,0.36,28.15,1.28,0,9.72E-02,1.86E-01,74,0.187035946271793,Homo sapiens,0%,121887.69,,poly(A) RNA binding,"nucleus,cytoplasm,plasma membrane,membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2,51,76
Q9NZL4,HSPBP1,Q9NZL4,HPBP1_HUMAN,Hsp70-binding protein 1,TRUE,M / MaN,M,MaN,15,Q9NZL4,33.1402549743652,40.9867820739746,0.31,0.31,23.68,1.24,0,9.23E-01,6.33E-01,14,0.589202084003888,Homo sapiens,0%,39473.97,"protein folding,positive regulation of protein ubiquitination,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of catalytic activity","enzyme inhibitor activity,protein binding",,sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NZL4|HPBP1_HUMAN Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,18,33
Q9NZM1,MYOF,Q9NZM1,MYOF_HUMAN,Myoferlin,TRUE,M / MaN,M,MaN,170,Q9NZM1,125.621353149414,117.243515014648,-0.10,0.10,-6.67,0.93,0,5.37E-02,1.29E-01,169,0.144140738930867,Homo sapiens,0%,234708.73,"plasma membrane repair,muscle contraction,blood circulation,regulation of vascular endothelial growth factor receptor signaling pathway,cellular response to heat","protein binding,phospholipid binding","nuclear envelope,plasma membrane,caveola,integral component of membrane,cytoplasmic vesicle membrane,cytoplasmic vesicle,nuclear membrane,intracellular membrane-bounded organelle,extracellular exosome",sp,1,1,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NZM1|MYOF_HUMAN Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1,117,143
Q9NZN4,EHD2,Q9NZN4,EHD2_HUMAN,EH domain-containing protein 2,TRUE,M / MaN,M,MaN,100,Q9NZN4,745.990356445312,3107.41918945312,2.06,2.06,316.55,4.17,0,1.13E-02,4.73E-02,99,0.247034753237104,Homo sapiens,0%,61161.4,"endocytosis,blood coagulation,cortical actin cytoskeleton organization,endocytic recycling,protein localization to plasma membrane,membrane tubulation,positive regulation of myoblast fusion,positive regulation of endocytic recycling","nucleic acid binding,calcium ion binding,protein binding,ATP binding,GTP binding,hydrolase activity,protein domain specific binding","nucleus,cytosol,plasma membrane,caveola,endosome membrane,extrinsic component of membrane,perinuclear region of cytoplasm,recycling endosome membrane,extracellular exosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9NZN4|EHD2_HUMAN EH domain-containing protein 2 OS=Homo sapiens GN=EHD2 PE=1 SV=2,29,44
Q9P035,HACD3,Q9P035,HACD3_HUMAN,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,TRUE,M / MaN,M,MaN,15,Q9P035,1439.56359863281,70.6275482177734,-4.35,4.35,-95.09,0.05,0,3.53E-01,3.99E-01,14,1.00327508268727,Homo sapiens,0%,43159.55,"I-kappaB kinase/NF-kappaB signaling,activation of JUN kinase activity,small GTPase mediated signal transduction,Rho protein signal transduction,Rac protein signal transduction,sphingolipid biosynthetic process,fatty acid elongation,very long-chain fatty acid biosynthetic process,positive regulation of GTPase activity,positive regulation of viral genome replication,positive regulation by virus of viral protein levels in host cell","GTPase activator activity,protein binding,3-hydroxyacyl-CoA dehydratase activity,enzyme binding,3-hydroxy-behenoyl-CoA dehydratase activity,3-hydroxy-lignoceroyl-CoA dehydratase activity","cytoplasm,mitochondrion,endoplasmic reticulum,focal adhesion,integral component of endoplasmic reticulum membrane,nuclear membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P035|HACD3_HUMAN Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens GN=HACD3 PE=1 SV=2,12,16
Q9P0J0,NDUFA13,Q9P0J0,NDUAD_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13,TRUE,M / MaN,M,MaN,20,Q9P0J0,205.014541625976,170.647003173828,-0.26,0.26,-16.76,0.83,0,6.06E-01,5.25E-01,19,0.680143045533296,Homo sapiens,0%,16698.31,"mitochondrial electron transport, NADH to ubiquinone,positive regulation of peptidase activity,negative regulation of cell growth,mitochondrial respiratory chain complex I assembly,cellular response to interferon-beta,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein import into mitochondrial inner membrane,positive regulation of protein catabolic process,negative regulation of transcription, DNA-templated,cellular response to retinoic acid,reactive oxygen species metabolic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway","NADH dehydrogenase activity,protein binding,ATP binding,NADH dehydrogenase (ubiquinone) activity","nucleoplasm,cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain,mitochondrial respiratory chain complex I,integral component of membrane,mitochondrial membrane,extracellular exosome",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P0J0|NDUAD_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3,11,16
Q9P0L0,VAPA,Q9P0L0,VAPA_HUMAN,Vesicle-associated membrane protein-associated protein A,TRUE,M / MaN,M,MaN,20,Q9P0L0,89.0969848632812,78.8435974121093,-0.18,0.18,-11.51,0.88,0,1.53E-01,2.48E-01,19,0.528189271260634,Homo sapiens,5.60%,27893.23,"ER to Golgi vesicle-mediated transport,signal transduction,cell death,sphingolipid biosynthetic process,neuron projection development,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation by host of viral release from host cell,negative regulation by host of viral genome replication,positive regulation by host of viral genome replication,membrane fusion,protein localization to endoplasmic reticulum,COPII-coated vesicle budding,cell-cell adhesion,endoplasmic reticulum organization,protein folding in endoplasmic reticulum","signal transducer activity,protein binding,microtubule binding,protein domain specific binding,FFAT motif binding,protein heterodimerization activity,cadherin binding involved in cell-cell adhesion","Golgi membrane,endoplasmic reticulum,endoplasmic reticulum membrane,plasma membrane,cell-cell adherens junction,microtubule cytoskeleton,integral component of membrane,nuclear membrane,vesicle,endoplasmic reticulum exit site,bicellular tight junction,perinuclear region of cytoplasm",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P0L0|VAPA_HUMAN Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3,19,30
Q9P0M6,H2AFY2,Q9P0M6,H2AW_HUMAN,Core histone macro-H2A.2,TRUE,M / MaN,M,MaN,5,Q9P0M6,17.4626369476318,9.71685028076171,-0.85,0.85,-44.36,0.56,0,2.96E-01,3.64E-01,4,1.15920122587325,Homo sapiens,0%,40058.23,"negative regulation of transcription from RNA polymerase II promoter,nucleosome assembly,chromatin silencing,brain development,dosage compensation,chromatin modification,positive regulation of keratinocyte differentiation,negative regulation of gene expression, epigenetic,establishment of protein localization to chromatin,negative regulation of transcription of nuclear large rRNA transcript from RNA polymerase I promoter,regulation of cell growth","RNA polymerase II regulatory region sequence-specific DNA binding,chromatin DNA binding,transcription regulatory region DNA binding,protein heterodimerization activity","nuclear chromosome, telomeric region,nucleosome,nuclear chromatin,Barr body,nucleoplasm,extracellular exosome,ESC/E(Z) complex",sp,1,3,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P0M6|H2AW_HUMAN Core histone macro-H2A.2 OS=Homo sapiens GN=H2AFY2 PE=1 SV=3,13,17
Q9P1Y5,CAMSAP3,Q9P1Y5,CAMP3_HUMAN,Calmodulin-regulated spectrin-associated protein 3,TRUE,M / MaN,M,MaN,5,Q9P1Y5,13.3323459625244,8.09149074554443,-0.72,0.72,-39.31,0.61,0,9.10E-01,6.29E-01,4,0.673221106946124,Homo sapiens,0%,134749.66,"microtubule cytoskeleton organization,negative regulation of phosphatase activity,neuron projection development,regulation of organelle organization,microtubule anchoring,zonula adherens maintenance,regulation of microtubule cytoskeleton organization,epithelial cell-cell adhesion","calmodulin binding,spectrin binding,microtubule minus-end binding","cytoplasm,microtubule,zonula adherens,centrosome",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P1Y5|CAMP3_HUMAN Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens GN=CAMSAP3 PE=1 SV=2,33,36
Q9P253,VPS18,Q9P253,VPS18_HUMAN,Vacuolar protein sorting-associated protein 18 homolog,TRUE,M / MaN,M,MaN,20,Q9P253,89.5804061889648,55.8581008911132,-0.68,0.68,-37.64,0.62,0,3.76E-01,4.17E-01,19,0.361351621040108,Homo sapiens,0%,110185.66,"intracellular protein transport,vesicle docking involved in exocytosis,autophagy,endosome organization,lysosome organization,endosome to lysosome transport,regulation of SNARE complex assembly,viral entry into host cell","actin binding,protein binding,syntaxin binding,protein binding, bridging,metal ion binding","lysosome,lysosomal membrane,early endosome,late endosome,autophagosome,actin filament,AP-3 adaptor complex,clathrin-coated vesicle,HOPS complex,late endosome membrane,CORVET complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P253|VPS18_HUMAN Vacuolar protein sorting-associated protein 18 homolog OS=Homo sapiens GN=VPS18 PE=1 SV=2,21,25
Q9P258,RCC2,Q9P258,RCC2_HUMAN,Protein RCC2,TRUE,M / MaN,M,MaN,25,Q9P258,95.9841842651367,492.130462646484,2.36,2.36,412.72,5.13,0,2.23E-01,3.14E-01,24,0.459165815333058,Homo sapiens,0%,56084.52,"sister chromatid cohesion,mitotic nuclear division,integrin-mediated signaling pathway,regulation of fibroblast migration,positive regulation of G2/M transition of mitotic cell cycle,regulation of cell migration,negative regulation of GTPase activity,establishment of protein localization,focal adhesion assembly,cell division,negative regulation of focal adhesion assembly,positive regulation of attachment of spindle microtubules to kinetochore,chromosome passenger complex localization to kinetochore,activation of GTPase activity,negative regulation of substrate adhesion-dependent cell spreading,regulation of ruffle assembly","protein binding,microtubule binding,protein kinase binding,protein domain specific binding,small GTPase binding,poly(A) RNA binding,Rac GTPase binding","nucleolus,cytosol,microtubule,plasma membrane,midbody,early endosome membrane,chromosome, centromeric core domain,mitotic spindle midzone,membrane",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P258|RCC2_HUMAN Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2,30,54
Q9P2E9,RRBP1,Q9P2E9,RRBP1_HUMAN,Ribosome-binding protein 1,TRUE,M / MaN,M,MaN,115,Q9P2E9,173.573318481445,158.516357421875,-0.13,0.13,-8.67,0.91,0,7.78E-01,5.89E-01,114,0.218382677987201,Homo sapiens,0%,152472.21,"osteoblast differentiation,translation,protein transport","receptor activity,poly(A) RNA binding","endoplasmic reticulum,ribosome,membrane,integral component of endoplasmic reticulum membrane",sp,1,4,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens GN=RRBP1 PE=1 SV=4,99,145
Q9P2J5,LARS,Q9P2J5,SYLC_HUMAN,"Leucine--tRNA ligase, cytoplasmic",TRUE,M / MaN,M,MaN,40,Q9P2J5,273.976654052734,144.498748779296,-0.92,0.92,-47.26,0.53,0,1.43E-01,2.39E-01,39,0.345643379784895,Homo sapiens,0%,134466.13,"tRNA aminoacylation for protein translation,leucyl-tRNA aminoacylation,regulation of translational fidelity","aminoacyl-tRNA editing activity,leucine-tRNA ligase activity,protein binding,ATP binding","nucleus,cytoplasm,cytosol",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,">sp|Q9P2J5|SYLC_HUMAN Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2",78,124
Q9P2M7,CGN,Q9P2M7,CING_HUMAN,Cingulin,TRUE,M / MaN,M,MaN,5,Q9P2M7,19.9455547332763,11.6757583618164,-0.77,0.77,-41.46,0.59,0,1.16E-01,2.08E-01,4,0.871405869531166,Homo sapiens,0%,136385.92,"transforming growth factor beta receptor signaling pathway,biological_process,cell-cell adhesion","motor activity,actin binding,protein binding,cadherin binding involved in cell-cell adhesion","cell-cell adherens junction,bicellular tight junction,myosin complex,cell junction",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P2M7|CING_HUMAN Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2,72,92
Q9P2R3,ANKFY1,Q9P2R3,ANFY1_HUMAN,Rabankyrin-5,TRUE,M / MaN,M,MaN,20,Q9P2R3,233.042678833007,50.270336151123,-2.21,2.21,-78.43,0.22,0,8.85E-03,4.03E-02,19,0.576105808245841,Homo sapiens,0%,128399.21,"endocytosis,endosome localization,endosomal vesicle fusion,retrograde transport, endosome to Golgi,positive regulation of pinocytosis,Golgi to lysosome transport","protein binding,Rab GTPase binding,metal ion binding,phosphatidylinositol phosphate binding","lysosomal membrane,early endosome,cytosol,endosome membrane,membrane,macropinosome,extracellular exosome,retromer complex",sp,1,2,uniprot_sprot_2015-08-28_HUMAN,>sp|Q9P2R3|ANFY1_HUMAN Rabankyrin-5 OS=Homo sapiens GN=ANKFY1 PE=1 SV=2,48,67
